0,20
1,16
2,12
3,12
4,16
5,12
6,16
7,12
8,16
9,12
10,12
11,16
12,217
13,173
14,1907
15,209
16,61
17,126
18,47
19,51
20,28
21,34
22,16
23,34
24,83
25,16
26,12
27,16
28,12
29,16
30,38
31,92
32,16
33,28
34,16
35,22
36,16
37,22
38,516
39,16
40,69
41,16
42,45
43,16
44,27
45,27
46,16
47,27
48,16
49,132
50,75
51,186
52,40
53,16
54,38
55,16
56,22
57,16
58,12
59,12
60,16
61,12
62,16
63,59
64,16
65,51
66,43
67,201
68,181
69,120
70,1056
71,61
72,42
73,53
74,47
75,414
76,16
77,12
78,16
79,12
80,12
81,16
82,12
83,16
84,12
85,16
86,28
87,24
88,16
89,43
90,21
91,42
92,27
93,27
94,27
95,16
96,27
97,16
98,66
99,16
100,21
101,21
102,16
103,12
104,16
105,20
106,16
107,20
108,20
109,16
110,16
111,16
112,16
113,16
114,120
115,36
116,16
117,27
118,16
119,27
120,16
121,27
122,21
123,57
124,255
125,57
126,195
127,16
128,20
129,20
130,16
131,20
132,16
133,12
134,16
135,12
136,12
137,16
138,12
139,16
140,27
141,27
142,54
143,42
144,27
145,44
146,21
147,42
148,21
149,42
150,76
151,16
152,27
153,16
154,12
155,16
156,12
157,12
158,16
159,12
160,16
161,94
162,16
163,150
164,22
165,28
166,42
167,28
168,42
169,16
170,105
171,192
172,16
173,282
174,16
175,51
176,16
177,27
178,338
179,16
180,1246
181,16
182,64
183,16
184,38
185,30
186,16
187,50
188,16
189,12
190,16
191,226
192,27
193,16
194,43
195,16
196,43
197,114
198,874
199,158
200,108
201,63
202,28
203,63
204,16
205,22
206,12
207,16
208,12
209,16
210,12
211,16
212,12
213,12
214,16
215,12
216,46
217,335
218,74
219,84
220,42
221,74
222,87
223,116
224,52
225,16
226,16
227,27
228,16
229,12
230,16
231,12
232,16
233,16
234,52
235,16
236,20
237,16
238,20
239,16
240,16
241,20
242,21
243,36
244,16
245,36
246,16
247,16
248,27
249,16
250,27
251,16
252,27
253,27
254,81
255,40
256,16
257,16
258,16
259,16
260,16
261,16
262,12
263,16
264,12
265,16
266,12
267,16
268,16
269,21
270,16
271,112
272,27
273,42
274,27
275,27
276,27
277,27
278,63
279,21
280,12
281,16
282,16
283,12
284,16
285,12
286,16
287,12
288,16
289,16
290,100
291,16
292,100
293,21
294,34
295,21
296,27
297,27
298,123
299,44
300,16
301,44
302,16
303,16
304,43
305,16
306,12
307,16
308,48
309,16
310,16
311,60
312,16
313,22
314,16
315,38
316,16
317,16
318,12
319,16
320,71
321,16
322,27
323,16
324,16
325,27
326,16
327,883
328,74
329,9776
330,47
331,16
332,22
333,16
334,22
335,16
336,12
337,16
338,16
339,12
340,16
341,12
342,16
343,12
344,16
345,78
346,121
347,61
348,71
349,28
350,42
351,37
352,47
353,265
354,75
355,144
356,16
357,12
358,16
359,16
360,12
361,16
362,12
363,16
364,110
365,16
366,16
367,1038
368,16
369,22
370,28
371,27
372,27
373,16
374,33
375,16
376,21
